sentiment,review_text,sentiment_predicted,sentiment_predicted_2nd_prompt
positive,"Até o momento ótimo custo beneficio, utilizo para desenhos CAD e BIM, excel e word.
",positive,positive
negative,"Produto que não recomendo, com pouco mais de 1 ano de uso o produto apresentou defeito na tela LCD, na ventoinha, e depois na placa mãe. Tenho notebooks bem mais antigos sem ter apresentado qualquer defeito desse tipo em tão pouco tempo de uso.
",negative,negative
positive,"A entrega foi super rápida, chegou antes do previsto e em perfeito estado. Estou adorando o produto
",positive,positive
positive,"Achei rápido, e ainda gostei muito porque tem teclado numérico, a bateria carrega rápido e tem uma boa duração.
",positive,positive
positive,"Produto incrível. Impressionou a mim e quem viu ele até agora, tanto pelo visual quanto pela qualidade. Computados de ótimo desempenho. Comprei para utilizar em trabalhos da faculdade e no trabalho. Mas não deixei de testar alguns jogos como minecraft que rodou bastante bem sem ter que reduzir resolução ou algo parecido. do jeito que instalei o jogo ele está rodando com as mesmas configurações, sendo possível até melhorar os gráficos. Instalei outros jogos mais antigos como GTA San Andreas e ele rodou no máximo. Então estou impressionado. Mas essa não é a finalidade dele. Acho que ele já ta se saindo bem demais. Em relação a entrega o produto chegou com atraso de 5 dias mas não achei isso um problema.
",positive,positive
positive,"O Produto chegou em perfeito estado e antes da data.
",positive,positive
positive,"Produto excelente pra qualquer atividade,rápido,alta capacidade de armazenamento,e preço bem razoavel...super recomendo  Gostei muito
",positive,positive
positive,"Comprei 5 são otimos e com um preço muito bom. Recomendo.
",positive,positive
positive,"Vendi meu carro a adquiri essa maquina!Andar de onibus passou ser divertido depois dessa compra .Faltou apenas o ar condicionado, mas ta valendo.Excelente produto!
",positive,positive
positive,"MUITO Bom, este notebook fez minha vida desmoronar, perdi casa, perdi carro, perdi até minha familia e meu precioso Rim, mas estou aqui jogando todos os jogos da atualidade no full a 60fps
",negative,negative
positive,"A flexibilidade é o q mais chama a atenção, a possibilidade de transformar o notebook em um roteador para até 8 dispositivos, além muito bonito. Vale muito a pena!
",positive,positive
positive,"Produto bom e no preço, super recomendo! O prazo para entrega foi razoável, veio bem embalado.
",positive,positive
positive,"Excelente notebook. Chegou rápido e não tem problemas. Memória reduzida, mas suportou todos os meus arquivos.
",positive,positive
positive,"produto é muito bom. atende todas as expectativas!
",positive,positive
positive,"Equipamento com ótimo acabamento e muito rápido o desempenho ao executar vários programas ao mesmo tempo. Recomendo!
",positive,positive
positive,"Gostei muito do produto, e excelente, sastifez minhas expectativas.
",positive,positive
positive,"Produto muito bom e muito bonito... A única coisa que me deixou desapontado é que me entregaram o produto dia 3 de Janeiro de 2018 e no sistema consta dia 30 de Dezembro de 2017 kkk Mais do resto, super recomendo o notebook :D
",positive,positive
positive,"Meu produto além de ser excelente, ele chegou 5 dias antes do prazo!!
",positive,positive
positive,"Até agora excelente,grande custo benefício. Pelo preço não compro nem um i3 na minha cidade.
",positive,positive
negative,"O computador foi adquirido não tem um mês e já está esquentando muito, travando e lento. Não consegui resolver pelas <empresa>, pois aparentemente terá que ser diretamente com o fornecedor. Não estou gostando do desempenho do produto.
",negative,negative
positive,"Design lindo, fácil de mexer, ótimo para desenvolver as atividades que preciso! Excelente custo beneficio. Recomendo!
",positive,positive
positive,"Porém, no meu caso houveram ruídos internos, como se estivesse algo raspando constantemente. Mas o produto é rápido, estiloso e compacto, perfeito para a rotina.
",negative,negative
negative,"""Considero o Notebook Dell Inspiron i15-5566-A30P Intel Core i5 4GB 1TB Tela LED 15.6"""" Windows 10 - Preto Lento demais!""
",negative,negative
positive,"Chegou antes do prazo. Veio bem embalado e o notebook está atendendo ao que preciso.
",positive,positive
positive,"PRODUTO MUITO BOM PARA ATIVIDADES DO DIA DIA. ENTREGA ANTES DO PRAZO, RECOMENDO À TODOS.
",positive,positive
negative,"É pesado, lento e vem com sistema operacional Windows que não facilita o trabalho, um sistema que sobrevive por causa da fama e monopólio, para quem não pode ter acesso a um Apple, as atualizações quando começam seu ia foi perdido!
",negative,negative
negative,"Após atualizar a placa NVIDIA o notebook simplesmente parou de funcionar, dando o erro NVLDDMKM.SYS. Não recomendo
",negative,negative
positive,"Excelente, amei. Super indico. Produto de alta qualidade . Entrega antes do prometido
",positive,positive
positive,"Atende perfeitamente o que eu preciso. Recomendo. Ótimo custo benefício.
",positive,positive
positive,"Produto excelente, design moderno, velocidade de processamento boa. Atende perfeitamente aos usuários que utilizam softwares de projetos de desenho técnico.
",positive,positive
positive,"Muito bom, design super lindo, facil  de manusear, rapido  e funcional.
",positive,positive
positive,"PRODUTO DE EXCELENTE QUALIDADE, LEVE, TECLADO MACIO, DE FÁCIL TRANSPORTE. SUPER RECOMENDO.
",positive,positive
negative,"O notebook é ótimo, até o momento. Porém para minha grande decepção, o careegador veio com defeito. Quero a troca do produto.
",negative,negative
positive,"Atende as necessidades, apenas a bateria poderia durar mais.
",negative,negative
positive,"O produto  corresponde aos anúncios das lojas <empresa> em 100%.  A entrega foi feita antes do prazo final estipulado.
",positive,positive
positive,"Produto muito bom super rápido e surpreendeu minhas expectativas
",positive,positive
positive,"muito bom, mas aquece bastante em jogos e fica facil perceber pela superficie de aluminio.
",negative,positive
positive,"Gostei recomendo a compra,  muito bom leve e atendeu as minhas necessidade
",positive,positive
positive,"Produto muito bom, por um preço bem razoável. Entrega dentro do prazo.
",positive,positive
positive,"Otimo produto, recomendo  produto e a <empresa>.
",positive,positive
positive,"Produto excelente, recomento. Agilidade na entrega.
",positive,positive
positive,"Compraria novamente. Produto bem acabado, bonito e o teclado numérico ajuda muito.
",positive,positive
positive,"Produto de ótima qualidade e a entrega muito rápida , produto chegou em 10 dias corrido, moro em Brasiléia Acre.
",positive,positive
positive,"leve, rápido, bonito. O único detalhe é a capacidade do SSD, de 128GB. Contanto que a pretensão de uso leve isso em conta, não vejo maiores problemas.
",positive,positive
positive,"Estou gostando muito do produto que comprei, ainda estou analisando mas muito satisfeita.
",positive,positive
negative,"Galera eu tenho um positivo estilo esses computadores são frágeis vc tem q ter muito cuidado a bateria não dura nada ,eu tenho um mais não recomendo pra ninguém...
",negative,negative
positive,"O produto é excelente!!!  O único problema foi referente a entrega.
",positive,negative
positive,"Design elegante e bem acabado, notebook leve, com bom nível de brilho e bons recursos. Teclado macio e funcionamento estável. Ideal para estudos e pesquisas :)
",positive,positive
positive,"Excelente notebook, além de muito bonito. Ótima configuração. Atendeu minhas expectativas. E entrega rápida, chegou em 3 dias úteis e grátis.
",positive,positive
positive,"O produto chegou no prazo, possui bom acabamento e razoável velocidade. Estou muito satisfeito. Recomendo para trabalho!
",positive,positive
positive,"muito bom para navegar na internet e para serviços graficos como o atocad2018
",positive,positive
positive,"Muito bom. Atingiu todas expectativas de desempenho e beleza. Perfeito para jogos, ou programas mais pesados. Recomendo demais este produto.
",positive,positive
positive,"Excelente equipamento. Comprei dois, apesar de não ter tido desconto no segundo que estava com preço acima do primeiro.  Tem um hardware bom, e para o uso de aplicações que exigem mais recursos opera muito bem.  Entrega dentro do esperado.
",positive,positive
positive,"Atende as minhas necessidade mínimas. Não avalio como excelente porque em uma atualização apresentou problemas e o sistema precisou ser formatado, mas fora isso, o notebook apresenta bom desempenho.
",negative,negative
positive,"o MELHOR LAPTOP QUE JÁ TIVE EM CAPACIDADE DE PROCESSAMENTO , DESIGN E TUDO MAIS!!!! RECOMENDO. E COM ÓTIMO PREÇO!!!!
",positive,positive
positive,"Efetivamente comprei o que paguei.Atende perfeitamente minhas necessidades,para trabalhos e algum entretenimento leve é otimo.Valeu cada centavo.SHOW
",positive,positive
positive,"Produto conforme o anunciado, entrega dentro do prazo.
",positive,positive
positive,"Bom desempenho ....facil acesso...muito bom compacto tb para locomoção com Ele.
",positive,positive
positive,"A bateria dura pouco, mas de modo geral tem um exelente desempenho.
",positive,positive
positive,"Notebook Dell com ótima qualidade, chegou dentro do prazo dado pelo site.
",positive,positive
positive,"O produto atendeu completamente as minhas expectativas. Muito bom e ótima resolução.
",positive,positive
negative,"Eu odiei o produto. Era presente para minha mae e ele simplesmente nao funciona. Quero meu dinheiro de volta
",negative,negative
positive,"""Deixei de dar entrada na minha casa para comprar esse notebook, mais não me arrependo, ele é muito top, configuração  """"parruda"""" da para jogar Crysis no """"maximo"""" vale cada centavo, top muito top..""
",positive,positive
positive,"Comparei aprovei os criterios para comprar ....RESFRIAMENTO....SOM....TELA....melhores que os concorrentess
",positive,positive
positive,"Corresponde ao que eu esperava. Chegou rápido e bem embalado.
",positive,positive
positive,"Produto muito bom e entrega, como sempre, muito rápida
",positive,positive
positive,"O Laptop até então atendeu as minhas expectativas, tem um ótimo acabamento, é muito rápido; pois eu paguei um ótimo preço por um produto bom, eu recomento a todos, mas só tem um detalhe que eu não observei na hora de comprar, ele não vem com leitor de mídia, mas vale apena!
",positive,positive
positive,"Me saiu por R$ 1.700, então valeu muito a pena! Não percebi nenhum barulho, como mencionado por alguns consumidores. Na verdade acho que o cooler é perceptível quando o lugar está muito silencioso.     Não vem com entrada de mídia, apesar de isso já estar sendo extinto eu senti falta e diria como um ponto negativo. Outra coisa é a bateria, acho que tem uma duração de 3h, mas pelo preço do produto não da pra reclamar, foi o que a lenovo conseguiu fazer...     O design é muito bonito, recomendo o uso de capa protetora para os desastrados com eu. Resumindo: Melhor custo benefício. Jogo lol, cs go, uso vários editores pesados, e nem sinal de travamento hehe
",positive,positive
positive,"Entrega quase imediata! muito antes do prazo... Produto perfeito e super bem embalado! Super recomendo o produto e a Loja...
",positive,positive
positive,"Eu comprei o computador para trabalho e ser banco de dados de um sistema, além de outros apps. Ele é ótimo, resposta rápida e ainda não tive nenhum problema de travamento ou afins. A entrega atrasou um pouco, em torno de 7 dias.
",positive,positive
positive,"Eu esperava uma performasse maior, mas está funcionando a contento.
",negative,positive
positive,"Ótimo produto. Rápido, confiável e eficiente. Recomendo.
",positive,positive
positive,"Excelente compra como um todo da compra até a entrega.
",positive,positive
positive,"O produto foi o esperado e ele chegou antes do prazo
",positive,positive
positive,"Produto excelente. Atende as necessidades de todos, tem um ótimo desempenho e um lindo designe. Possui alta potência de som. Adorei.
",positive,positive
positive,"Produto muito bom. Entrega no tempo previsto. Rapidez e agilidade.
",positive,positive
positive,"Meus últimos dois notebooks foram da marca DELL, a qual possui ótima reputação e credibilidade, e que me fizeram adquirir o Notebook Dell Inspiron i15-5567.  O notebook tem um design bonito, é relativamente leve e possui boa performance.  Quando o recebi, ele estava com o sistema operacional Linux Ubuntu, e durante os primeiros 3 dias ele chegou a travar várias vezes, forçando-me a reiniciá-lo diretamente no botão Power. Porém, após formatá-lo e instalar o Windows 10 Pro, em nenhum momento ocorreu qualquer tipo de travamento.  Quanto a entrega, considero muito boa, pois foi antes do prazo estipulado, de forma que pude antecipar os trabalhos.
",positive,positive
positive,"Além de lindo é perfeito para as minhas necessidades. Simplesmente amei.
",positive,positive
positive,"Tirando os programas nativos Acer, o restante tá ok.
",negative,negative
positive,"Produto de excelente qualidade e com bom desempenho, foi entregue dentro do prazo, contido até o presente momento não recebi o e-mail da garantia estendida que contratei.
",positive,positive
negative,"Por se tratar se um produto novo e com essas especificações, ele é bastante lento e trava em funções básicas (usando o google chrome ou o word, por exemplo). Complicado pagar esse preço nessas condições. Não recomendo. Sobre a entrega, foi rápida e chegou tudo certo. Minha queixa é apenas quanto ao produto.
",negative,negative
positive,"Ótimo, rápido, uso pra edição de fotos, recomendo!
",positive,positive
positive,"Quanto ao produto,  nada a reclamar, mas quanto a entrega... atrasou bastante, e a entregadora, praticamente, só entrou em contato comigo na terceira tentativa.
",negative,negative
negative,"O produto foi entregue com defeito de fabricação . Não carrega a bateria . Não consegui falar por telefone paratropas a mercadoria , somente on line . Muita demora para narrar em contato comigo . Enfim , nunca mais desejo comprar nessa loja . Não recomendo para ninguém !!!
",negative,negative
positive,"Produto leve para carregar, simples de manusear, rápido o processador. Eu e meu marido compramos igual de tanto que gostamos.
",positive,positive
positive,"Me senti presenteada com a promoção do meu produto
",positive,positive
positive,"Estou começando a utilizar, por isso a avaliação que é pedida de maneira imediata, não dá para ter toda a garantia. Mas até agora acho muito bom. Ainda melhor do que eu esperava em termos de velocidade.
",positive,positive
positive,"O produto é excelente e a entrega foi espetacular. Foi a entrega mais rápida que já tive. Parabéns
",positive,positive
negative,"Ñ é o q esperava, a bateria descarrega muito rápido.
",negative,negative
positive,"Estou muito satisfeita com o notebook, muito rápido, bonito, leve, carrega rápido a bateria e ela dura bem. Superou minhas expectativas. Preço acessível e qualidade de produtos mais caros.
",positive,positive
positive,"estou muitissimo satisfeito, vendi meu rim, da minha mulher e do meu filho pra comprar mas  a maquina é muito rápida. CS sem lag. \o/
",positive,positive
positive,"Produto rápido, tela boa, ótima qualidade, adorei.
",positive,positive
positive,"produto conforme expectativa. Poderia acompanhar capa e mouse da Samsung.
",positive,positive
positive,"""Leve, compacto e rápido, veio a substituir perfeitamente meu velho PC (com configurações bem parecidas) e liberando espaço na minha mesa. A placa de vídeo ajuda significantemente no trabalho de edição gráfica. Minha única ressalva é a troca de posição do símbolo """"?"""" no teclado, ficando na mesma tecla que a letra """"W"""", sendo portanto acionar a tecla Alt Gr para poder usá-la. leva um tempo para se acostumar a essa mudança, o que reduz a velocidade de digitação em pouco.""
",positive,positive
positive,"Entrega dentro do prazo, produto excelente em questão de desempenho, ótimo para jogos e demais funções comuns.
",positive,positive
positive,"o notebook é ótimo,inclui o Windows 10. é perfeito,não tem o que reclamar.
",positive,positive
negative,"Comprei ele dia 15 de novembro e dia 15 de Dezembro a tela começou a piscar e buuu ficou cheia de linhas na tela, e não funciona pra nada..  não comprem não presta.
",negative,negative
negative,"comprei esse produto na certeza de q era confiável, pois estava comprando em.uma das maiores lojas de departamento do Brasil, porém o produto chegou com defeito, tenho q mandar para assistência em Coritiba,  sendo q moro em Goiânia,  totalmente arrependida por ter comprado esse produto. A minha maior indicação é  que não  comprei da positivo e sim das lojas <empresa>. Pensarem duas vezes antes de comprar um produto  dessa loja.
",negative,negative
positive,"Atende bem, para que não necessita de alta performance.
",positive,negative
positive,"comprei para trabalhar e jogar jogos relativamente leves.  está dando conta do recado muito bem.
",positive,positive
positive,"dá pra jogar minecfrat e escutar uns gemidão do zap suave
",negative,positive
negative,"quando entreguei o presente para os meus filhos eles detectaram que a tela tinha um pixel queimado, mas o prazo de devolução já havia terminado.
",negative,negative
negative,"Todos defeitos possíveis, mega lento, descarrega rápido, não conseguir usar para finalidade que comprei. Só não devolvi pq comecei usar após uma semana que chegou e por isso perdi o prazo legal.
",negative,negative
positive,"Boa capacidade interna e externa, o tornando ágil, para trabalho e estudo atende à necessidade, tela grande, bom preço, indico a compra.
",positive,positive
positive,"Note absolutamente fantástico, super rápido e leve, ergonômico, bonito, e UTIL para o dia dia. Falta a placa de video dedicada para quem quer algo sobrenatural, mas duvido ser melhor por conta disso.
",positive,positive
positive,"Notebook muito bonito e de bom desempenho, mesmo para o windows 10 que é bem pesado, as conectividades são bem modernas mas confesso que esperava mais da placa de vídeo, não senti grande diferença em relação a Intel hd 620, uma leve melhora apenas.
",positive,negative
negative,"Ao ligar pela primeira vez já vi que a bateria estava com problemas pois não carregava. Mesmo apresentando alguma carga só funcionou na tomada. Ao tirar da tomada, mesmo com 80% de carga, desligava. Depois não ligou mais. Desisti da compra para adquirir um de outra marca.
",negative,negative
positive,"A entrega foi dentro do prazo previsto. O computador é lindo, recomendo.
",positive,positive
positive,"O produto e muito bom para que e estudante e precisa de uma máquina com boas especificações
",positive,positive
positive,"O notebook tem um bom acabamento e estou muito contente com ele. Não uso para programas muito pesados, mas posso dizer que para usar internet, Photoshop e usar várias abas ao mesmo tempo está sendo excelente, não trava e é muito eficiente até então. Recomendo!
",positive,positive
positive,"Na categoria é o melhor, tela anti-reflexo, bem nítida e cores vivas. Sou designer gráfico e pra mim tem sido muito útil, roda bem os programas. Estou jogando bem também, rodas jogos pesados em full. Designer fosco é bem útil pois dificilmente fica sujo. Eu recomendo, parabéns samsung.
",positive,positive
positive,"Bom pra quem usa o notebook pra estudar ou trabalhar. Ainda estou acostumando com o linux,  mas não apresenta grande dificuldades nas tarefas que faço normalmente no computador. Sem contar que tive um notebook positivo que durou 10 anos sem apresentar defeito.
",positive,positive
positive,"O HD que vem de fábrica é de péssima qualidade. No entanto, se você colocar um SSD, fica fantástico. Tirando o HD, a construção é de alta qualidade, a tela é perfeita, com ótima densidade de pixels, notebook de 14' com tamanho de 13', por causa das bordas super finas.
",positive,negative
negative,"Boa tarde! Comprei o produto no boleto e paguei, porem o produto chegou com defeito e até o dia de hoje(17/01/2018) não resolveram o problema, o suporte da dell fica de resolver e não resolve, vou ter que acionar o Procon, pois tem quase 30 dias que comprei o produto e não pode usar e pior que esse notebook comprei para dar de presente. descrição o problema: quando colocar para carregar a bateria , ela quando chega em 55% de carga informa que está conectada e sem carregar. passei essa informação para Dell e pediram para fazer vários testes e até hoje não trocaram o notebook para eu dar de presente que tinha prometido e olha o constrangimento causado, dei o produto de presente e a pessoa teve que me devolver o presente e até hoje não retornei com o presente.
",negative,negative
positive,"Ótimo notebook, excelente preço comparada a qualidade do produto, a entrega foi bem rápida.
",positive,positive
positive,"Produto de ótima qualidade. Chegou antes do prazo previsto. Um bom atendimento
",positive,positive
positive,"Primeiro por que gosto da marca Samsung  Pesquisei bastante é preço estava mais encota  que outros site. Produto chegou antes da data.
",positive,positive
positive,"Para mim atendeu todas as expectativas,comprei dois ,meus filhos amaram ,roda os jogos deles perfeitamente.So tenho elogios quanto a entrega,como sempre as lojas <empresa> é rápida nas entregas,estão de parabéns!
",positive,positive
negative,"CORRAM, CORRAM, CORRAM DESSE PRODUTO!!! COMPREI O PRODUTO E 1 SEMANA DEPOIS APRESENTOU PROBLEMA NA BATERIA. SÓ FUNCIONA COM O CARREGADOR CONECTADO. NÃO COMPREM JAMAIS!!
",negative,negative
negative,"Comparando com os outros notebooks que tive, achei este inferior, lento para executar os programas, o mouse é ruim de movimentação. Não entendo muito, não sei se pode ter relação com o sistema, que é windows 10, os anteriores que eu usava eram o windows 7, que é mais leve.
",negative,negative
positive,"Ótima imagem de tela. Chegou antes do prazo estipulado.
",positive,positive
negative,"O computador trava quando se usa o power point. E a DELL nao sabe o porque... JOga a culpa na microssoft. material bem fraco, delicado.... nao vale a pena
",negative,negative
positive,"Ótimo produto q tem como única falha o HD q é lento, mas o resto é excelente.
",negative,negative
negative,"Não comprem gente péssimo produto chegou num dia no outro nem quiz ligar mais
",negative,negative
positive,"E um note que atende as minhas expectativas em todos os sentidos,
",positive,positive
positive,"Muito satisfeita com o produto superou as expectativas de uso
",positive,positive
positive,"Notebook bonito, rápido, chegou super rápido e custo muito abaixo de outro notebook de mesma configuração e outras marcas.
",positive,positive
positive,"Recebi o produto com 1 dia após o prazo previsto,mas completamente aceitável por ser fim de ano!! Produto excelente,entrega ok. Para mim o melhor site para compras.
",positive,positive
positive,"O produto chegou no prazo certo e está funcionando corretamente. Estou satisfeito com a compra.
",positive,positive
positive,"Prós -- Bonito, leve, rápido. Contra -- Tive que pagar para um técnico tirar o Windows 10 pois é horrível, pede atualizações diárias e demora demais, é lento pra mexer. Mas agora com o Windows 7 o notebook funciona muito bem. Obs.: Uso para trabalho.
",negative,negative
positive,"Foi tudo perfeito desde a compra até a entrega. Recebi o produto conforme o que eu queria. Eu recomendo esse site.
",positive,positive
positive,"Atendeu todas as minhas expectativas, o que não gostei foi da transportadora, que deixa a desejar sobre informações da localização e status da encomenda.
",negative,negative
positive,"tenho este produto a 2 anos , nunca pegou vírus , não trava , bateria duradora , custo beneficio para uso domestico, só os apricativos que são ilimitados precisando desenvolver apricativos para este programa de computador.
",positive,positive
positive,"Tela grande.  Memória muito boa. Meu filho gostou muito, foi um excelente presente.
",positive,positive
positive,"Muito bom, está atendendo minhas expectativas. Agora por ser um processador I3 eu pensei que seria bem mais rápido do que meu notebook anterior pois este ainda não está nem cheio de aplicativos mas a velocidade é comparável com os processadores anteriores.
",positive,positive
positive,"sem alteração , muito bom mesmo , foi eu que escolhi dentro da configuração
",positive,positive
positive,"Gostei da atenção que vcs tiram tirando dúvidas, sobre a entrega chegou antes do prazo o produto muito bom, ele é além do que eu imaginava.
",positive,positive
positive,"PC ótimo para quem utiliza para estudos e pesquisas na internet...
",positive,positive
positive,"Dentro das expectativas ; ainda tive pouco tempo de uso mais não decepcionou
",positive,positive
positive,"Esquenta bastante rodando jogos como lol, tera, diablo 2 em gráficos altos. ótimo desempenho e design. Adorei e está servindo muito bem todos os meus requerimentos.
",positive,positive
positive,"Configuração simples mas que atende muito bem as tarefas do dia a dia.
",positive,positive
positive,"As <empresa> está de parabéns a entrega foi antes do prazo, super rápido! Recomendo.
",positive,positive
positive,"Áudio excelente, ótimo para quem estuda e muito bonito por sinal !
",positive,positive
negative,"Fico pensando como uma empresa de renome como a DELL coloca uma máquina tão fraca  como essa no mercado.A insatisfação começa logo na hora de ligar.É uma eternidade até abrir o windows, e continua com o uso,travando e demorando para processar coisas simples.O design do notebook é fraco e sem atrativos,nem se comparando ao VAIO,que ai sim,tem uma máquina elegante e realmente bonita.Me enganei por achar que comprando um notebook DELL core i5 de sétima geração  estava fazendo um ótimo negócio.Para finalizar estou esperando terminar de pagar a máquina para comprar algo realmente de qualidade e que me entregue o que se propõe.
",negative,negative
positive,"Gostei muito do produto.  Gostei muito do produto.  Gostei muito do produto.
",positive,positive
positive,"Produto ótimo e chegou em perfeito estado, eu super recomendo porque ele é bom de verdade tem que respeitar a Dell e a empresa <empresa>.
",positive,positive
positive,"Super recomendo melhor aquisição já realizada e chegou antes do prazo informado
",positive,positive
positive,"O notbook é auto de data e é incrível como ele facilita nosso acesso, sem falar da aparência.. lindo ... lindo ... lindo !
",positive,positive
positive,"Produto de ótima qualidade. A única coisa é que a entrega demorou para acontecer. Recebi o produto com atraso.
",negative,negative
positive,"Só não é excelente porque não vem com o pacote do Office. No mais...é top.
",positive,positive
positive,"Ótimo produto, de extrema qualidade!! A entrega foi mais rápida do que eu esperava, recomendo a todos!!
",positive,positive
positive,"É um excelente produto da Samsung,com ´recursos  ótimos.Recomendo.
",positive,positive
positive,"produto de otima qualidade,recomendo a quem quiser adquirir
",positive,positive
positive,"Computador excelente, muito rápido e o designer é top!
",positive,positive
positive,"Tinha visto um comentário sobre a lentidão do produto, e comprovei isso quando chegou. Fiquei frustrado, mas então vi que tinha um monte de atualizações para serem feitas. Depois de fazer, o notebook está muito rápido. Realmente valeu a compra. Recomendo!
",negative,positive
positive,"Por um preço acessível adquiri um produto com uma qualidade maravilhosa. Obrigado <empresa> por preços imbatíveis e qualidade monstra !!!
",positive,positive
positive,"produto superou as expectativas, muito bom, valeu a pena.
",positive,positive
positive,"vale fazer u upgrade, trocar o hd por ssd. Super recomendo.
",positive,positive
positive,"Só carece de driver de CD e DVD. No mais, o equipamento é bom.
",negative,positive
positive,"Trabalho com desenvolvimento Android, e rodar o emulador sempre foi um problema, essa máquina com essa configuração e principalmente pelo SSD, melhorou demais o desenpenho e a minha produtividade
",positive,positive
negative,"Comprei o not quando fui jogar observei que a taxa de fps tava em 30 sendo que ele termina boa placa de vídeo capas de chegar até 192 de ms realizei tudo que meus amigos falaram att entre outros mais permanece assim Américas oque eu posso fazer
",negative,negative
positive,"De acordo com as especificações técnicas do produto.
",negative,positive
positive,"Produto atende às expectativas e a negociação foi rápido e fácil
",positive,positive
positive,"Òtima compra, tela fina super leve e bonito. Recomendo.
",positive,positive
positive,"Leve, silencioso, muito rápido, som límpido, teclado confortável. Recomendo.
",positive,positive
positive,"Super indico Vale a pena comprar Ele é lindo Slim E a cor é Maravilhosa (para quem gosta da cor aço escovado)
",positive,positive
positive,"A Samsung sempre foi minha marca de produtos favorita. Celular, TV, Notebook... E esse Notebook é excepcional, tela, processamento dos dados, ótimo para rodar as coisas diárias, Word, Internet, Youtube tudo na mesma hora, sem travar. Ainda dá para arriscar uns jogos de 2016 para baixo.
",positive,positive
negative,"No segundo dia de uso, travou, tenho internet de 30 mega e não esta abrindo as páginas da internet, fica travando!!! Irei devolver o produto, sem contar que hoje pela manhã ele iniciou com um ruído interno, como se tivesse algo batendo, que só parou depois de mudar ele de posição.
",negative,negative
positive,"Se você deseja um computador pra editar vídeo, jogos, etc. Nada pesado, que exige o MÁXIMO DO MÁXIMO do seu PC, ele é super ideal, jogo normalmente, edito videos normalmente. Navego muito bem nos navegadores, parece que minha velocidade de internet é maior do que contratei por causa do hardware desse equipamento. Recomendo. Muito bom.
",positive,positive
positive,"O que mais me surpreendeu foi a rapidez da inicialização do Windows. Inicialmente o navegador não queria acessar todos os sites, mas em uma ligação para o suporte técnico da Lenovo (excelente atendimento)  e um procedimento orientado por eles, o problema foi resolvido.
",positive,positive
positive,"Preço bom para as configurações (I7 com placa off board ge-force).
",positive,positive
negative,"Produto chegou com defeito, não ligava, fiz o contato com a loja e devolvi no dia seguinte.....nao recomendo a ninguém..
",negative,negative
positive,"Notebook, com design bem fino, leve e atende as minhas expectativas.E o melhor, chegou antes do prazo previsto.
",positive,positive
positive,"Ótimo custo beneficio , excelente qualidade,compto ideal para levar a qualquer lugar, duração da bateria excelente...
",positive,positive
positive,"Produto muito bom, mas o teclado apresenta instabilidade.
",negative,negative
positive,"O produto é ótimo, porem a transportado direct deixa a desejar. Entregou o produto com 3 dias de atraso e não deu nenhuma justificativa, inclusive a <empresa>.
",negative,negative
positive,"A entrega foi rápida, foi por Sedex, mas ainda prefiro pela transportadora Direct, mas chegou direitinho e rápido, o notebook é muito bom, está funcionando perfeitamente até agora, gostei bastante, Samsung é uma ótima marca.
",positive,positive
positive,"Eu comprei esse notebook, após várias decepção com a lenovo, notebook caro e defeito que não foram reparados, também tive decepção com a samsung. Então,   pelo excelente preço do notebook positivo e como ele será usado somente para acesso à Internet e impressão, achei custo beneficio. Chegou perfeito, até o momento não tenho problemas. Só estou tendo um cuidado redobrado, pois ele é bem sensível, frágil, então, utilizo e guardo na caixa com muito cuidado. Eu compraria outro desse, se necessário, cansei de comprar notebook caríssimo e só decepção.
",negative,negative
positive,"Notebook Top... Excelente compra...entrega super rápida (antes do prazo até) com certeza recomendo tanto a Dell qto à <empresa>...
",positive,positive
positive,"O produto  é bom. Recomendo aos usuários por apresentar um bom  desempenho.
",positive,positive
negative,"Note Booker deu problema no segundo dia de uso. Fiz a devolução.
",negative,negative
positive,"é um note muito bom , vale a pena compra lo ..o processador é excelente
",positive,positive
positive,"Leve e fino por um preço acessivel, peguei no preço de black friday então foi um ótimo custo beneficio, estou usando a um mês, ele é perfeito para meus estudos e trabalhos.O sistema é o Openmandriva e qualquer um com um pouco de paciencia e coragem aprende a usar em um mês, mas se a diferença de preço desse pra versão com i3 for de menos de 300 reais acho melhor o positivo com i3
",positive,positive
positive,"Vendi minha casa e um Rim e um córnea no mercado negro, mas agora o Minicraft rosa filé....
",negative,negative
positive,"Comprei para presentear um amigo ele adorou disse quê foi o melhor e mais útil presente na sua vida e ele usa para trabalhar
",positive,positive
positive,"A mercadoria chegou no prazo e em ótimo estado.Ele atende as minhas necessidades.
",positive,positive
negative,"Não imaginei que a resolução da imagem na tela fosse tão ruim.
",negative,negative
positive,"Acredito que fiz uma ótima compra ao escolher o Notebook Samsung Expert22 nas lojas <empresa>, pois além de uma excelente configuração, designer, preço, tive acesso a todas as etapas do processo de entrega e chegou antes do prazo estimado.
",positive,positive
positive,"Produtos da Dell não tem comparação. Muito bom mesmo.
",positive,positive
positive,"Produto atendeu minhas expectativas e a entrega foi muito rápida, recebi bem antes do prazo previsto.
",positive,positive
